close,open,volume,MACD,ATR,close,close
3275,3226.8,4744496500,5.84,48.84,81.62,1.3
3358.54,3295.76,8472491000,17.11,50.42,81.29,1.3
3366.71,3361.35,5643698000,24.42,48.18,81.47,1.29
3345.61,3369.19,5312428700,25.07,46.71,81.07,1.34
3391.94,3349.88,6777266900,30.06,46.33,80.72,1.3
3407.35,3400.14,6907345200,33.5,43.29,81.18,1.31
3405.15,3422.85,6519171000,33.46,44.3,81.39,1.31
3386.95,3403.09,5401122800,29.12,41.88,81.61,1.3
3346.74,3381.31,6218532200,19.44,42.74,81.5,1.29
3379.17,3348.77,5128056700,16.15,42.14,80.88,1.29
3351.48,3388.36,7456515000,9.32,44.85,80.58,1.28
3391.72,3350.73,7990769500,9.29,47.81,80.42,1.28
3403.71,3394.64,6030613100,9.88,47.78,80.22,1.28
3394.57,3407.03,6105168500,8.12,47.29,80.47,1.28
3356.33,3388.29,4714036800,1.25,45.93,80.8,1.29
3176.42,3313.5,8841630000,-26.56,52.53,80.92,1.29
3173.37,3176.41,6413785900,-43.39,55.65,81.04,1.29
3236.68,3178.88,6692833100,-43.9,58.62,81.23,1.29
3201.54,3222.68,7108168800,-46.61,59.49,81.69,1.29
